Function Name;Module;Source Info;Time %;Time(s);CPI ratio;
omp_get_num_procs;libgomp.so.1.0.0;;60.02;21.75;10.73;
f64xsubf128;libm-2.28.so;;23.09;8.37;0.46;
baseline._omp_fn.0;binary;kernel.c:139;7.27;2.63;2.42;
omp_in_final;libgomp.so.1.0.0;;5.13;1.86;7.62;
exp;libm-2.28.so;;2.46;0.89;1.10;
@plt;libm-2.28.so;;0.61;0.22;3.02;
Unknown functions;binary;;0.57;0.21;2.10;
lgamma;libm-2.28.so;;0.51;0.19;0.83;
omp_get_num_threads;libgomp.so.1.0.0;;0.18;0.06;2.24;
__entry_SYSCALL_64_trampoline;SYSTEM CALL;;0.03;0.01;7.00;
GOMP_cancel;libgomp.so.1.0.0;;0.03;0.01;16.00;
omp_get_thread_num;libgomp.so.1.0.0;;0.02;0.01;2.50;
syscall_return_via_sysret;SYSTEM CALL;;0.02;0.01;1.11;
__x64_sys_futex;SYSTEM CALL;;0.01;0.00;1.50;
apic_timer_interrupt;SYSTEM CALL;;0.01;0.00;0.00;
read_hpet;SYSTEM CALL;;0.00;0.00;0.00;
update_process_times;SYSTEM CALL;;0.00;0.00;1.00;
do_syscall_64;SYSTEM CALL;;0.00;0.00;0.18;
entry_SYSCALL_64_stage2;SYSTEM CALL;;0.00;0.00;0.00;
enqueue_task_fair;SYSTEM CALL;;0.00;0.00;0.00;
__hrtimer_run_queues;SYSTEM CALL;;0.00;0.00;2.00;
__update_load_avg_cfs_rq;SYSTEM CALL;;0.00;0.00;0.00;
futex_wake;SYSTEM CALL;;0.00;0.00;0.50;
irq_enter;SYSTEM CALL;;0.00;0.00;0.00;
read_tsc;SYSTEM CALL;;0.00;0.00;0.00;
do_futex;SYSTEM CALL;;0.00;0.00;0.29;
native_apic_mem_write;SYSTEM CALL;;0.00;0.00;0.00;
rcu_check_callbacks;SYSTEM CALL;;0.00;0.00;0.00;
interrupt_entry;SYSTEM CALL;;0.00;0.00;0.00;
