Function Name;Module;Source Info;Time %;Time(s);CPI ratio;
omp_get_num_procs;libgomp.so.1.0.0;;67.70;24.52;10.92;
f64xsubf128;libm-2.28.so;;21.19;7.67;0.45;
baseline._omp_fn.0;binary;kernel.c:139;6.22;2.25;1.17;
exp;libm-2.28.so;;2.57;0.93;0.98;
lgamma;libm-2.28.so;;0.60;0.22;0.92;
@plt;libm-2.28.so;;0.58;0.21;1.62;
Unknown functions;binary;;0.47;0.17;1.50;
omp_in_final;libgomp.so.1.0.0;;0.31;0.11;5.48;
omp_get_num_threads;libgomp.so.1.0.0;;0.08;0.03;1.29;
__entry_SYSCALL_64_trampoline;SYSTEM CALL;;0.07;0.02;7.75;
syscall_return_via_sysret;SYSTEM CALL;;0.04;0.01;0.89;
omp_get_thread_num;libgomp.so.1.0.0;;0.03;0.01;0.82;
GOMP_cancel;libgomp.so.1.0.0;;0.03;0.01;1.40;
do_futex;SYSTEM CALL;;0.02;0.01;1.14;
get_futex_key_refs.isra.15;SYSTEM CALL;;0.01;0.00;1.67;
entry_SYSCALL_64_stage2;SYSTEM CALL;;0.01;0.00;3.00;
read_tsc;SYSTEM CALL;;0.01;0.00;0.00;
do_syscall_64;SYSTEM CALL;;0.01;0.00;0.31;
get_futex_key;SYSTEM CALL;;0.01;0.00;0.57;
__x64_sys_futex;SYSTEM CALL;;0.01;0.00;0.38;
apic_timer_interrupt;SYSTEM CALL;;0.01;0.00;0.00;
hash_futex;SYSTEM CALL;;0.00;0.00;0.29;
_raw_spin_lock_irq;SYSTEM CALL;;0.00;0.00;0.00;
futex_wake;SYSTEM CALL;;0.00;0.00;0.50;
__softirqentry_text_start;SYSTEM CALL;;0.00;0.00;1.00;
__hrtimer_get_next_event;SYSTEM CALL;;0.00;0.00;1.00;
scheduler_tick;SYSTEM CALL;;0.00;0.00;1.00;
__hrtimer_run_queues;SYSTEM CALL;;0.00;0.00;1.00;
run_posix_cpu_timers;SYSTEM CALL;;0.00;0.00;0.00;
task_tick_fair;SYSTEM CALL;;0.00;0.00;0.00;
swapgs_restore_regs_and_return_to_usermode;SYSTEM CALL;;0.00;0.00;0.00;
smp_apic_timer_interrupt;SYSTEM CALL;;0.00;0.00;0.00;
entry_SYSCALL_64_after_hwframe;SYSTEM CALL;;0.00;0.00;0.50;
irq_enter;SYSTEM CALL;;0.00;0.00;0.00;
rcu_check_callbacks;SYSTEM CALL;;0.00;0.00;0.00;
interrupt_entry;SYSTEM CALL;;0.00;0.00;2.00;
