Function Name;Module;Source Info;Time %;Time(s);CPI ratio;
f64xsubf128;libm-2.28.so;;20.69;7.49;0.44;
__entry_SYSCALL_64_trampoline;SYSTEM CALL;;15.48;5.61;7.49;
omp_in_final;libgomp.so.1.0.0;;14.84;5.38;1.09;
syscall_return_via_sysret;SYSTEM CALL;;12.95;4.69;3.11;
omp_get_num_procs;libgomp.so.1.0.0;;9.83;3.56;4.24;
baseline._omp_fn.0;binary;kernel.c:139;3.42;1.24;0.95;
do_futex;SYSTEM CALL;;2.89;1.05;0.82;
exp;libm-2.28.so;;2.39;0.86;0.65;
__x64_sys_futex;SYSTEM CALL;;2.05;0.74;1.63;
do_syscall_64;SYSTEM CALL;;1.89;0.68;0.53;
futex_wake;SYSTEM CALL;;1.83;0.66;0.67;
get_futex_key;SYSTEM CALL;;1.63;0.59;0.68;
entry_SYSCALL_64_after_hwframe;SYSTEM CALL;;1.50;0.54;1.24;
hash_futex;SYSTEM CALL;;1.43;0.52;0.57;
GOMP_single_copy_end;libgomp.so.1.0.0;;1.33;0.48;1.07;
entry_SYSCALL_64_stage2;SYSTEM CALL;;1.20;0.43;2.05;
get_futex_key_refs.isra.15;SYSTEM CALL;;1.02;0.37;0.57;
Unknown functions;binary;;0.62;0.22;1.61;
lgamma;libm-2.28.so;;0.58;0.21;0.73;
@plt;libm-2.28.so;;0.54;0.20;2.73;
GOMP_parallel_end;libgomp.so.1.0.0;;0.37;0.13;0.51;
__indirect_thunk_start;SYSTEM CALL;;0.33;0.12;0.48;
omp_get_num_threads;libgomp.so.1.0.0;;0.31;0.11;1.17;
GOMP_parallel;libgomp.so.1.0.0;;0.30;0.11;0.71;
GOMP_doacross_ull_wait;libgomp.so.1.0.0;;0.22;0.08;0.49;
baseline;binary;kernel.c:138;0.09;0.03;1.31;
drop_futex_key_refs.isra.16;SYSTEM CALL;;0.08;0.03;0.24;
GOMP_cancel;libgomp.so.1.0.0;;0.06;0.02;0.68;
__libc_free;libc-2.28.so;;0.05;0.02;3.67;
omp_get_thread_num;libgomp.so.1.0.0;;0.04;0.01;2.83;
__libc_malloc;libc-2.28.so;;0.03;0.01;7.50;
random;libc-2.28.so;;0.01;0.00;0.43;
account_process_tick;SYSTEM CALL;;0.00;0.00;0.00;
run_timer_softirq;SYSTEM CALL;;0.00;0.00;0.00;
main;binary;driver.c:23;0.00;0.00;0.00;
cgroup_rstat_updated;SYSTEM CALL;;0.00;0.00;0.00;
cpuacct_account_field;SYSTEM CALL;;0.00;0.00;0.00;
account_system_index_time;SYSTEM CALL;;0.00;0.00;0.00;
timekeeping_advance;SYSTEM CALL;;0.00;0.00;0.00;
tick_sched_timer;SYSTEM CALL;;0.00;0.00;0.00;
swapgs_restore_regs_and_return_to_usermode;SYSTEM CALL;;0.00;0.00;0.00;
ktime_get;SYSTEM CALL;;0.00;0.00;0.00;
__schedule;SYSTEM CALL;;0.00;0.00;0.00;
apic_timer_interrupt;SYSTEM CALL;;0.00;0.00;0.00;
perf_event_task_tick;SYSTEM CALL;;0.00;0.00;0.00;
read_tsc;SYSTEM CALL;;0.00;0.00;1.00;
rcu_all_qs;SYSTEM CALL;;0.00;0.00;0.00;
